owner,repo
facebook,react
facebook,jest
facebook,docusaurus
tensorflow,tensorflow
keras-team,keras
numpy,numpy
pandas-dev,pandas
scikit-learn,scikit-learn
tiangolo,fastapi
pallets,flask
django,django
microsoft,vscode
microsoft,TypeScript
apache,spark
nodejs,node
rust-lang,rust
golang,go
opencv,opencv
ansible,ansible
hashicorp,terraform
